1.0,1.0
1.0,1.0833
1.0,1.1667
1.0,1.25
1.0,1.3333
1.0,1.4167
1.0,1.5
1.0,1.5833
1.0,1.6667
1.0,1.75
1.0,1.8333
1.0,1.9167
1.0,2.0
1.0,2.0833
1.0,2.1667
1.0,2.25
1.0,2.3333
1.0,2.4167
1.0,2.5
1.0,2.5833
1.0,2.6667
1.0,2.75
1.0,2.8333
1.0,2.9167
1.0,3.0
1.0833,3.0
1.1667,3.0
1.25,3.0
1.3333,3.0
1.4167,3.0
1.5,3.0
1.5833,3.0
1.6667,3.0
1.75,3.0
1.8333,3.0
1.9167,3.0
2.0,3.0
2.0833,3.0
2.1667,3.0
2.25,3.0
2.3333,3.0
2.4167,3.0
2.5,3.0
2.5833,3.0
2.6667,3.0
2.75,3.0
2.8333,3.0
2.9167,3.0
3.0,3.0
3.0,2.9167
3.0,2.8333
3.0,2.75
3.0,2.6667
3.0,2.5833
3.0,2.5
3.0,2.4167
3.0,2.3333
3.0,2.25
3.0,2.1667
3.0,2.0833
3.0,2.0
3.0,1.9167
3.0,1.8333
3.0,1.75
3.0,1.6667
3.0,1.5833
3.0,1.5
3.0,1.4167
3.0,1.3333
3.0,1.25
3.0,1.1667
3.0,1.0833
3.0,1.0
2.9167,1.0
2.8333,1.0
2.75,1.0
2.6667,1.0
2.5833,1.0
2.5,1.0
2.4167,1.0
2.3333,1.0
2.25,1.0
2.1667,1.0
2.0833,1.0
2.0,1.0
1.9167,1.0
1.8333,1.0
1.75,1.0
1.6667,1.0
1.5833,1.0
1.5,1.0
1.4167,1.0
1.3333,1.0
1.25,1.0
1.1667,1.0
1.0833,1.0
1.0,1.0
